Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Koyla,https://www.imdb.com/title/tt0136352/,Action+Drama+Musical,1997-04-18,"A village girl agrees to a marriage to a king she has never met after he sends her a photograph of himself. But the man in the photograph is not the king but his most loyal slave, the handsome but mute Shankar.",14.88,Rakesh Roshan,Shah Rukh Khan+Madhuri Dixit+Amrish Puri,Sachin Bhowmick+Ravi Kapoor+Anwar Khan,PT2H46M,6.2,70.64622568093385
Virasat,https://www.imdb.com/title/tt0120456/,Action+Drama+Musical,1997-05-30,"After completing his studies in London, England, Shakti Thakur returns home to India in a small town where his family resides. Accompanying him is his leggy girlfriend, Anita, who he is in love with and wants to marry, much to the disapproval of his family. After a few days, Shakti starts to feel that nothing much has changed in this part of India and longs to return, as he is unable to bear the animosity between the townspeople, in general, and in particular between his Zamindar dad, Raja Thakur, and rival Zamindar Birju, none other than Raja's crippled brother. When Anita leaves the town to meet her parents elsewhere in India, Shakti too wants to follow her, but his plans change suddenly when his father passes away, and the region is ravaged by unprecedented natural calamities. Following the funeral he decides to stay on to look after the family estate and business temporarily, and that is when he meets local town belle, Gehna, who has given her heart to him years ago, hopes to marry him, with approval from his very own family. Anita returns to find that nothing is the same anymore, and that her role may be reduced to that of a mistress, she must now make a choice to either return back home, or fight and win back Shakti's love.",11.32,Priyadarshan,Anil Kapoor+Tabu+Pooja Batra,Kamal Haasan+Vinay Shukla,PT2H45M,7.4,53.74430609597925
Border,https://www.imdb.com/title/tt0118751/,Action+Drama+History,1997-06-13,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.",39.46,J.P. Dutta,Sunny Deol+Suniel Shetty+Akshaye Khanna,J.P. Dutta+O.P. Dutta,PT2H56M,7.9,187.3454345006485
Yes Boss,https://www.imdb.com/title/tt0120540/,Comedy+Drama+Musical,1997-07-18,"Rahul Joshi wants to be a successful businessman so he works hard for his boss Siddharth. One day Rahul meets Seema, an up and coming model, and he feels like he's finally met his match. Will Seema fall for Rahul?",11.33,Aziz Mirza,Shah Rukh Khan+Juhi Chawla+Aditya Pancholi,Sanjay Chhel+Mangesh Kulkarni+Aziz Mirza,PT2H43M,6.7,53.79178339818418
Tarazu,https://www.imdb.com/title/tt0251426/,Action+Crime+Drama,1997-08-01,A tough and honest police officer avenges his family's murder at the hands of a crime lord.,,Vimal Kumar,Akshay Kumar+Sonali Bendre+Mohnish Behl,,PT2H24M,4.1,
Gupt: The Hidden Truth,https://www.imdb.com/title/tt0119239/,Action+Crime+Mystery,1997-08-15,"Governor Jaisingh Sinha is murdered and the needle of suspicion points towards his estranged son, Sahil Sinha who must prove his innocence.",,Rajiv Rai,Bobby Deol+Kajol+Manisha Koirala,Shabbir Boxwala+Rajiv Rai+Naeem Sha,PT2H53M,7.3,
...Aur Pyaar Ho Gaya,https://www.imdb.com/title/tt0118525/,Comedy+Drama+Musical,1997-08-15,"Grandpa and Grandma Kapoor live a wealthy life-style with their only widower son, Kailashnath and his daughter Ashi who is of marriage-able age. Kailashnath arranges his daughter's marriage with his friend, the equally wealthy Mr. Malhotra's son, Rohit. Ashi approve of this match but would like to evaluate Rohit's personality before marrying him; she finds out that Rohit is in Switzerland and travels there to meet with him. At the airport she does meet with a male and takes him for Rohit and thus both started to get acquainted with each other only to find out that he is not the one she is looking for. Her efforts to locate Rohit are frustrated since every male she thinks is Rohit turns out to be someone else. Her first acquittance whose name turn out to be Bobby Oberoi continues to pursue her until both fall in love. Back in India; Bobby is introduce to the Kapoor family who approve of the couple's marriage. But calamity destructs them when some personal problems crop up between Ashi's dad, Kailashnath and Bobby's bank manager mother, Gayetri forcing Kailashnath to cancel the marriage which changes lives forever.",,Rahul Rawail,Bobby Deol+Aishwarya Rai Bachchan+Shammi Kapoor,Rumi Jaffery,PT2H27M,4.6,
Deewana Mastana,https://www.imdb.com/title/tt0118957/,Comedy+Romance,1997-09-23,Chaos ensues when a small time crook and a mental patient tries to win heart of a beautiful woman with comical outcomes.,13.59,David Dhawan,Anil Kapoor+Govinda+Juhi Chawla,Anees Bazmee+Prayag Raj,PT2H20M,6.7,64.52165369649805
Mr. & Mrs. Khiladi,https://www.imdb.com/title/tt0162480/,Comedy+Drama+Romance,1997-10-09,A slacker (Akshay Kumar) must impress a wealthy man to marry her daughter (Juhi Chawla).,,David Dhawan,Akshay Kumar+Juhi Chawla+Paresh Rawal,,PT2H13M,6.3,
Loha,https://www.imdb.com/title/tt0440590/,Action,1997-10-17,"Compelled to take the law into his own hands; Arjun from the Indian army is court-marshal and jailed. Years later; after his release from jail, he takes to alcohol in a big way and comes across an ex-police inspector, Shankar - they both finds that they have something in common - honesty only to team up in order to thwart a criminal gang headed by the powerful and influential, Lukka and his brother, Takla.",,Kanti Shah,Dharmendra+Mithun Chakraborty+Mohan Joshi,Bashir Babar,PT2H40M,5.2,
Raja Ki Ayegi Baraat,https://www.imdb.com/title/tt0269758/,Drama+Romance,1997-10-18,"Mala is raped by Raja. She takes him to court, but the judge orders her to marry her rapist as punishment. Despite Raja and his family's cruelty, Mala perseveres with kindness, eventually winning them over through her goodness.",,Ashok Gaekwad,Rani Mukerji+Shadaab Khan+Gulshan Grover,Santosh Saroj,PT2H38M,3.6,
Dil To Pagal Hai,https://www.imdb.com/title/tt0118983/,Comedy+Drama+Musical,1997-10-30,"A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?",34.97,Yash Chopra,Shah Rukh Khan+Madhuri Dixit+Karisma Kapoor,Tanuja Chandra+Aditya Chopra+Pamela Chopra,PT3H,7.0,166.02812581063554
Bhai,https://www.imdb.com/title/tt0135161/,Action+Drama,1997-10-30,A simpleton turns into a gangster after his younger brother is killed and sets out for revenge on the perpetrators who destroyed his life.,8.4,Deepak S. Shivdasani,Suniel Shetty+Pooja Batra+Sonali Bendre,Kader Khan,PT2H27M,5.3,39.88093385214008
Ishq,https://www.imdb.com/title/tt0133024/,Action+Comedy+Drama,1997-11-28,"Two rich friends, hating the poor, were challenged by their children's love lives. Thus starts the war between love and money.",24.93,Indra Kumar,Aamir Khan+Ajay Devgn+Juhi Chawla,Rajeev Kaul+Tanveer Khan+Naushir Khatau,PT2H41M,6.8,118.36091439688715
Pardes,https://www.imdb.com/title/tt0119861/,Drama+Musical+Romance,1997-12-08,"Kishorilal wants an Indian bride for his westernised son. He gets him engaged to Ganga, his friend's daughter, and brings her to USA. But she shares a deeper bond with Arjun, Kishorilal's foster son.",,Subhash Ghai,Shah Rukh Khan+Mahima Chaudhry+Amrish Puri,Subhash Ghai+Neeraj Pathak+Javed Siddiqui,PT3H11M,6.9,
Chachi 420,https://www.imdb.com/title/tt0233422/,Comedy+Drama+Musical,1997-12-19,Desperation to be with his only child forces a divorced man to take the guise of the child's nanny. Situations get really messy when the child's grandfather (the man's ex-father-in-law) falls in love with his disguised ex-son-in-law.,11.42,Kamal Haasan,Kamal Haasan+Amrish Puri+Om Puri,Gulzar+Kamal Haasan+Crazy Mohan,PT2H35M,7.4,54.21907911802853
Daayan,https://www.imdb.com/title/tt2658566/,Horror,1998-01-01,"Tony is impotent and so he kill his wives who ever complains about it. The 2nd wife Lily, whom he kills, becomes a ghost and starts killing Tony's family members. An evil Daayan uses the ghost to gain immortality and money also.",,D.S. Azad,Sanjeeva Affrin+Satyendra Kapoor+Shakti Kapoor,,,5.2,
Pyaar Kiya To Darna Kya,https://www.imdb.com/title/tt0173080/,Action+Comedy+Drama,1998-03-27,"When Vishal does not agree of Suraj and Muskaan's relationship, Suraj decides to win Vishal's heart for marrying Muskaan.",,Sohail Khan,Salman Khan+Kajol+Arbaaz Khan,Sanjeev Duggal+Sohail Khan,PT2H42M,6.6,
Tamanna,https://www.imdb.com/title/tt0205445/,Drama,1998-04-13,"In 1975 Mahim, Bombay, eunuch Tikku is the only child of yesteryear Bollywood actress Nazneen Begum, who has fallen upon hard times, is virtually destitute, and is dependent on Tikku, who does make-up/hairdressing of Bollywood actresses. When she passes away, Tikku is beside himself with grief. After the funeral, he witnesses a woman leaving a child in a garbage bin. Longing for human company after his mother's death, Tikku picks up the girl-child, decides to keep her, names her Tamanna, and brings her up on his own. When she is old enough, he arranges for her education in St. Mary's High School's hostel. When she completes school, she returns home to find Tikku in the guise of a Hijra and shuns him, but subsequently relents. Then Tikku finds out that Tamanna is the daughter of up-and-coming politician Ranvir Chopra, and when he tells her, she goes to his palatial house. How will this impact the entire Chopra family? And what excuse do they produce for abandoning her?",,Mahesh Bhatt,Paresh Rawal+Pooja Bhatt+Sharad S. Kapoor,,PT2H7M,7.1,
Salaakhen,https://www.imdb.com/title/tt0286936/,Action+Drama,1998-04-24,"When an honest school teacher testifies in a rape case against a prominent businessman's son, he is psychologically tortured and forced to commit suicide. His young son then takes the law into his own hands in order to avenge his father.",,Guddu Dhanoa,Sunny Deol+Raveena Tandon+Manisha Koirala,,PT2H45M,5.5,
Duplicate,https://www.imdb.com/title/tt0164550/,Action+Comedy+Crime,1998-05-08,"In order to evade the law, a ruthless don tries to kill his lookalike; a chef and tries to take his place.",10.17,Mahesh Bhatt,Shah Rukh Khan+Juhi Chawla+Sonali Bendre,Robin Bhatt+Akash Khurana+Javed Siddiqui,PT2H44M,5.6,45.09665051483949
When One Falls in Love,https://www.imdb.com/title/tt0182251/,Comedy+Drama+Romance,1998-05-22,"A Playboy's past catches up with him, when he wants to get married",,Deepak Sareen,Salman Khan+Twinkle Khanna+Johny Lever,Honey Irani+Javed Siddiqui,PT2H34M,5.9,
Dushman,https://www.imdb.com/title/tt0189492/,Action+Drama+Thriller,1998-05-29,A woman goes on a hunt to find her twin sister's rapist and murderer.,,Tanuja Chandra,Kajol+Sanjay Dutt+Ashutosh Rana,,PT2H25M,6.8,
Ghulam,https://www.imdb.com/title/tt0190419/,Action+Crime+Drama,1998-06-19,An amateur boxer runs errands for a local gangster but revolts against him after the gangster kills his friend and his conscience is awakened.,13.36,Vikram Bhatt,Aamir Khan+Rani Mukerji+Rajit Kapoor,Anjum Rajabali,PT2H42M,7.2,59.24201090248334
Satya,https://www.imdb.com/title/tt0195231/,Action+Crime+Drama,1998-07-03,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,14.35,Ram Gopal Varma,J.D. Chakravarthi+Manoj Bajpayee+Urmila Matondkar,Anurag Kashyap+Saurabh Shukla+Kona Venkat,PT2H50M,8.3,63.631950333131435
Dulhe Raja,https://www.imdb.com/title/tt0210659/,Comedy,1998-07-10,"K. K. Singhania, a successful hotelier, is annoyed by Raja who starts a dhaba right next to his luxurious five-star hotel. His frustrations reach next level when his daughter falls in love with Raja and decides to marry him.",12.75,Harmesh Malhotra,Govinda+Raveena Tandon+Kader Khan,Rajeev Kaul+Anwar Khan+Praful Parekh,PT2H23M,6.8,56.53709872804361
Pyaar To Hona Hi Tha,https://www.imdb.com/title/tt0173081/,Comedy+Drama+Romance,1998-07-15,"Set to win back her fiance's heart, Sanjana (Kajol) decides to travel back to India but little did she know that fate had something else planned for her.",,Anees Bazmee,Ajay Devgn+Kajol+Bijay Anand,Anees Bazmee,PT2H36M,6.6,
Kareeb,https://www.imdb.com/title/tt0189633/,Drama+Romance,1998-07-17,"Birju is a young man who lives with his mom, dad, elder brother, Bhabhi and nephew in an upper middle class home. His father would like him to work as well as accept some responsibility, but Birju does not heed him, but is instead interested in petty thievery, lies, and romancing a beautiful young woman named Neha. When he proposes marriage, his mom and dad hope that this will set him on the right path, and they approve of his marriage with Neha. When Neha finds out the truth about Birju, she refuses to marry him, and re-locates to another town. Birju is unable to get Neha out of his mind, and he runs away from home, hoping to locate Neha somewhere, and try to patch things with her. He does find Neha and her mom, who is hospitalized. When Birju makes inquiries he is told that Neha's mom is due for major surgery, and that this operation will cost a lot of money. Birju steals the money to pay for the surgery, and when he goes to deposit this money at the hospital, he finds out to his dismay that her operation has already taken place, and that Neha is to marry the doctor who performed this operation.",6.82,Vidhu Vinod Chopra,Bobby Deol+Shabana Raza+Abhay Chopra,Kamna Chandra+Vidhu Vinod Chopra+Abhijat Joshi,PT2H25M,6.5,30.241804966686857
Dil Se..,https://www.imdb.com/title/tt0164538/,Action+Drama,1998-08-21,A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.,10.77,Mani Ratnam,Shah Rukh Khan+Manisha Koirala+Preity G Zinta,,PT2H24M,7.5,47.75721986674742
Gunda,https://www.imdb.com/title/tt0497915/,Action+Comedy+Crime,1998-09-04,"When a coolie's family is murdered by a group of gangsters and politicians, he swears revenge on them.",,Kanti Shah,Mithun Chakraborty+Mukesh Rishi+Mohan Joshi,Bashir Babar,PT2H9M,7.3,
Maharaja,https://www.imdb.com/title/tt0119596/,Action+Adventure+Comedy,1998-09-04,"Prince Kohinoor returns after 20 years to seek revenge on Ranbir Singh, who had killed his parents. With his special powers, Kohinoor must eliminate Ranbir and save his loved ones.",,Anil Sharma,Govinda+Manisha Koirala+Raj Babbar,,PT2H44M,4.3,
Bandhan,https://www.imdb.com/title/tt0273452/,Action+Drama+Romance,1998-10-02,A united household is shaken to the core when Raju's (Salman Khan's) brother-in-law marries a prostitute.,0.5,K. Muralimohana Rao,Jackie Shroff+Salman Khan+Rambha,,PT2H34M,4.8,2.2171411265899454
Kuch Kuch Hota Hai,https://www.imdb.com/title/tt0172684/,Action+Drama+Thriller,1998-10-16,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",46.87,Karan Johar,Shah Rukh Khan+Kajol+Rani Mukerji,Karan Johar,PT3H5M,7.5,207.83480920654148
Train to Pakistan,https://www.imdb.com/title/tt0170704/,Drama+War,1998-11-06,Seen from the eyes of Hukum Chand the District Magistrate it is an account of the turmoil faced by the inhabitants of village Mano Majra in Punjab on the Indo-Pak border during the period of partition after India attained independence.,,Pamela Rooks,Mohan Agashe+Nirmal Pandey+Rajit Kapoor,,PT1H51M,6.6,
Mehndi,https://www.imdb.com/title/tt0273804/,Drama,1998-11-13,"Newly-wed Pooja is ill-treated by her in-laws and her husband for dowry. Unable to live with their demands and mistreatment, she decides to stand up for herself and teach them a lesson.",2.54,Hamid Ali,Faraaz Khan+Rani Mukerji+Ushma Rathod,Iqbal Durrani,PT2H33M,3.4,11.263076923076923
China Gate,https://www.imdb.com/title/tt0210609/,Action+Adventure+Drama,1998-11-27,10 old exiled army men decide to free a village from an evil bandit,12.78,Rajkumar Santoshi,Om Puri+Amrish Puri+Naseeruddin Shah,Vijay Deveshwar+K.K. Raina+Anjum Rajabali,PT2H55M,6.6,56.670127195639004
Wajood,https://www.imdb.com/title/tt0287111/,Action+Crime+Drama,1998-12-11,"This story revolves around Malhar Gopaldas Agnihotri, a out-of-work actor, poor, and dependent on his father, who is heading for retirement. Malhar knows that he can act, very well indeed, all he needs is some encouragement, and some money. He gets neither. His father is abusive, and even gets physical with him openly in front of all the neighbours, and even the neighborhood. Malhar loves a young lady named Apoorva Choudhury, but his affections are mis-applied, as Apoorva only regards him as a friend, and she loves Nihal Joshi, a Police Inspector. Frustrated at the lack of love and encouragement, Malhar takes recourse in an exercise, an exersise that will put him in direct confrontation with the law, as it starts with murder.",5.24,N. Chandra,Nana Patekar+Madhuri Dixit+Mukul Dev,N. Chandra+Kamlesh Pandey,PT3H,7.1,23.23563900666263
Naseeb,https://www.imdb.com/title/tt0119760/,Comedy+Drama+Romance,1998-12-18,"Poor Krishna Prasad and Pooja are in love and would like to marry each other. But Pooja's dad, Din Dayal, wants her to marry a wealthier man, and rejects Krishna. Krishna agrees to acquire wealth, and promises Pooja that he will return after a few years. Five years go by, and Krishna does not return, Din Dayal can wait no longer, and gets Pooja married to Deepak. Shortly after this marriage, Krishna returns as a multi-millionaire, and is angered at Pooja for not waiting for him. Krishna than sets upon plotting vengeance against Pooja and Deepak, that will tear their relationship apart.",,Kirti Kumar,Govinda+Mamta Kulkarni+Saeed Jaffrey,Aadesh K. Arjun+Shaka Sampang+Vijay Solanki,PT2H18M,5.3,
Zakhm,https://www.imdb.com/title/tt0211126/,Drama,1998-12-25,"Amidst religious riots, a son deals with his mother's life-threatening injuries, and her last request.",4.22,Mahesh Bhatt,Ajay Devgn+Pooja Bhatt+Nagarjuna Akkineni,,PT2H5M,7.9,18.712671108419137
Aa Ab Laut Chalen,https://www.imdb.com/title/tt0149568/,Musical+Romance+Drama,1999-01-22,Rohan Khanna leaves India hoping for a better life in America.,11.02,Rishi Kapoor,Rajesh Khanna+Akshaye Khanna+Aishwarya Rai Bachchan,Sachin Bhowmick+Rumi Jaffery+Raju Saigal,PT2H57M,5.4,43.21232994108195
Daag: The Fire,https://www.imdb.com/title/tt0272062/,Action+Drama+Thriller,1999-02-12,"Karan, a former soldier tries to extract revenge from a corrupted lawyer. In the process, the lawyer loses his mental balance and Karan needs to treat him to get him killed.",11.45,Raj Kanwar,Sanjay Dutt+Chandrachur Singh+Mahima Chaudhry,Robin Bhatt+Jainendra Jain+Raj Kanwar,PT2H32M,5.0,44.89847348687734
Kachche Dhaage,https://www.imdb.com/title/tt0206067/,Action+Drama+Thriller,1999-02-19,Two stepbrothers who loathe each other have to work together to avoid being framed for terrorist activities.,0.92,Milan Luthria,Ajay Devgn+Saif Ali Khan+Manisha Koirala,Sanjay Chhel+Anjum Rajabali,PT2H24M,6.0,3.6075629351901446
Kaun?,https://www.imdb.com/title/tt0195002/,Action+Drama+Thriller,1999-02-26,"While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell...",,Ram Gopal Varma,Urmila Matondkar+Manoj Bajpayee+Sushant Singh,Anurag Kashyap,PT1H30M,7.8,
Lal Baadshah,https://www.imdb.com/title/tt0172704/,Action+Crime+Drama,1999-03-05,"Lal Singh (Amitabh Bachchan) lives with his mother (Nirupa Roy) in a small basti in Bombay and grows up with the poor and needy, who call him Lal Badshah. He's a helpful person dead-set against crime. In the same city lives Vikram Singh alias Vicky Baadshah (Raghuvaran), the Don of the city; the two are always clashing. Vicky is the son of Dayal Singh (Amrish Puri) who lives far away from Mumbai in a castle. Vicky and his brother Ajit Singh (Mukesh Rishi), a corrupt police officer, want to rule the city. Meanwhile, Lal meets Kiran (Manisha Koirala), an L.I.C. agent who falls in love with him and determines to become his wife. At the castle, Dayal Singh is still hunting for the treasures of the Maharaja, whom he murdered years ago along with his brother Sultan Singh (Prem Chopra). When the Maharaja was murdered, his son Dewan Ranbir Singh (also Amitabh Bachchan) hid the treasure, for which Dayal Singh tried to murder him. What is the link between Ranbir Singh and his look-alike Lal Singh, and will Dayal Singh ever find the treasure?",7.09,K.C. Bokadia,Amitabh Bachchan+Manisha Koirala+Shilpa Shetty Kundra,K.C. Bokadia+Anwar Khan,PT3H,3.3,27.801762185324048
Aarzoo,https://www.imdb.com/title/tt0284811/,Action+Drama+Romance,1999-03-19,"After her fiance, Vijay, is killed in a crash, a pregnant Pooja agrees to marry Amar, her childhood friend who has always loved her. But her life takes yet another turn when Vijay returns to her life.",5.6,Lawrence D&apos;Souza,Madhuri Dixit+Akshay Kumar+Saif Ali Khan,Reema Rakesh Nath,PT2H55M,5.0,21.95907873594001
International Khiladi,https://www.imdb.com/title/tt0196635/,Action+Crime+Drama,1999-03-26,A crime boss is accused by a reporter of murdering her brother and raping her. He investigates the frame-up.,8.88,Umesh Mehra,Akshay Kumar+Twinkle Khanna+Rajat Bedi,,PT2H55M,4.8,34.820824852704874
